id,pop,city,state,loc
1001,15338,AGAWAM,MA,"['-72.622739', ' 42.070206']"
1002,36963,CUSHMAN,MA,"['-72.51565', ' 42.377017']"
1005,4546,BARRE,MA,"['-72.108354', ' 42.409698']"
1007,10579,BELCHERTOWN,MA,"['-72.410953', ' 42.275103']"
1008,1240,BLANDFORD,MA,"['-72.936114', ' 42.182949']"
1010,3706,BRIMFIELD,MA,"['-72.188455', ' 42.116543']"
1011,1688,CHESTER,MA,"['-72.988761', ' 42.279421']"
1012,177,CHESTERFIELD,MA,"['-72.833309', ' 42.38167']"
1013,23396,CHICOPEE,MA,"['-72.607962', ' 42.162046']"
1020,31495,CHICOPEE,MA,"['-72.576142', ' 42.176443']"
1022,1764,WESTOVER AFB,MA,"['-72.558657', ' 42.196672']"
1026,1484,CUMMINGTON,MA,"['-72.905767', ' 42.435296']"
1027,16864,MOUNT TOM,MA,"['-72.679921', ' 42.264319']"
1028,13367,EAST LONGMEADOW,MA,"['-72.505565', ' 42.067203']"
1030,11985,FEEDING HILLS,MA,"['-72.675077', ' 42.07182']"
1031,2385,GILBERTVILLE,MA,"['-72.198585', ' 42.332194']"
1032,122,GOSHEN,MA,"['-72.844092', ' 42.466234']"
1033,5526,GRANBY,MA,"['-72.520001', ' 42.255704']"
1034,1652,TOLLAND,MA,"['-72.908793', ' 42.070234']"
1035,4231,HADLEY,MA,"['-72.571499', ' 42.36062']"
1036,4709,HAMPDEN,MA,"['-72.431823', ' 42.064756']"
1038,3184,HATFIELD,MA,"['-72.616735', ' 42.38439']"
1039,1387,HAYDENVILLE,MA,"['-72.703178', ' 42.381799']"
1040,43704,HOLYOKE,MA,"['-72.626193', ' 42.202007']"
1050,2084,HUNTINGTON,MA,"['-72.873341', ' 42.265301']"
1053,1350,LEEDS,MA,"['-72.703403', ' 42.354292']"
1054,1748,LEVERETT,MA,"['-72.499334', ' 42.46823']"
1056,18820,LUDLOW,MA,"['-72.471012', ' 42.172823']"
1057,8194,MONSON,MA,"['-72.319634', ' 42.101017']"
1060,27939,FLORENCE,MA,"['-72.654245', ' 42.324662']"
1068,1503,OAKHAM,MA,"['-72.051265', ' 42.348033']"
1069,9778,PALMER,MA,"['-72.328785', ' 42.176233']"
1070,571,PLAINFIELD,MA,"['-72.918289', ' 42.514393']"
1071,608,RUSSELL,MA,"['-72.840343', ' 42.147063']"
1072,1533,SHUTESBURY,MA,"['-72.421342', ' 42.481968']"
1073,4478,SOUTHAMPTON,MA,"['-72.719381', ' 42.224697']"
1075,16699,SOUTH HADLEY,MA,"['-72.581137', ' 42.237537']"
1077,7667,SOUTHWICK,MA,"['-72.770588', ' 42.051099']"
1080,2425,THREE RIVERS,MA,"['-72.362352', ' 42.181894']"
1081,1732,WALES,MA,"['-72.204592', ' 42.062734']"
1082,9808,WARE,MA,"['-72.258285', ' 42.261831']"
1085,40117,MONTGOMERY,MA,"['-72.754318', ' 42.129484']"
1089,27537,WEST SPRINGFIELD,MA,"['-72.641109', ' 42.115066']"
1092,4441,WEST WARREN,MA,"['-72.203639', ' 42.20734']"
1095,12635,WILBRAHAM,MA,"['-72.446415', ' 42.124506']"
1096,2295,WILLIAMSBURG,MA,"['-72.777989', ' 42.408522']"
1098,877,WORTHINGTON,MA,"['-72.931427', ' 42.384293']"
1103,2323,SPRINGFIELD,MA,"['-72.588735', ' 42.1029']"
1104,22115,SPRINGFIELD,MA,"['-72.577769', ' 42.128848']"
1105,14970,SPRINGFIELD,MA,"['-72.578312', ' 42.099931']"
1106,15688,LONGMEADOW,MA,"['-72.5676', ' 42.050658']"
1107,12739,SPRINGFIELD,MA,"['-72.606544', ' 42.117907']"
1108,25519,SPRINGFIELD,MA,"['-72.558432', ' 42.085314']"
1109,32635,SPRINGFIELD,MA,"['-72.554349', ' 42.114455']"
1118,14618,SPRINGFIELD,MA,"['-72.527445', ' 42.092937']"
1119,13040,SPRINGFIELD,MA,"['-72.51211', ' 42.12473']"
1128,3272,SPRINGFIELD,MA,"['-72.488903', ' 42.094397']"
1129,6831,SPRINGFIELD,MA,"['-72.487622', ' 42.122263']"
1151,8702,INDIAN ORCHARD,MA,"['-72.505048', ' 42.153225']"
1201,50655,PITTSFIELD,MA,"['-73.247088', ' 42.453086']"
1220,9901,ADAMS,MA,"['-73.117225', ' 42.622319']"
1222,561,ASHLEY FALLS,MA,"['-73.320195', ' 42.059552']"
1223,1070,BECKET,MA,"['-73.120325', ' 42.359363']"
1225,3094,CHESHIRE,MA,"['-73.157964', ' 42.561059']"
1226,7357,DALTON,MA,"['-73.160259', ' 42.475046']"
1230,10603,GREAT BARRINGTON,MA,"['-73.36065', ' 42.195922']"
1235,2559,PERU,MA,"['-73.092433', ' 42.434604']"
1236,802,HOUSATONIC,MA,"['-73.374544', ' 42.265296']"
1237,2328,HANCOCK,MA,"['-73.248737', ' 42.541961']"
1238,6916,LEE,MA,"['-73.231696', ' 42.298994']"
1240,5001,LENOX,MA,"['-73.271322', ' 42.364241']"
1243,384,MIDDLEFIELD,MA,"['-73.006226', ' 42.34795']"
1245,329,WEST OTIS,MA,"['-73.213452', ' 42.187847']"
1247,19054,CLARKSBURG,MA,"['-73.10999', ' 42.69865']"
1253,1060,OTIS,MA,"['-73.082093', ' 42.18988']"
1254,1134,RICHMOND,MA,"['-73.364457', ' 42.378398']"
1255,651,SANDISFIELD,MA,"['-73.116285', ' 42.109429']"
1256,632,SAVOY,MA,"['-73.023281', ' 42.576964']"
1257,1839,SHEFFIELD,MA,"['-73.361091', ' 42.100102']"
1258,135,SOUTH EGREMONT,MA,"['-73.456575', ' 42.101153']"
1259,622,SOUTHFIELD,MA,"['-73.260933', ' 42.078014']"
1262,2200,STOCKBRIDGE,MA,"['-73.322263', ' 42.30104']"
1266,1173,WEST STOCKBRIDGE,MA,"['-73.38251', ' 42.334752']"
1267,8220,WILLIAMSTOWN,MA,"['-73.20364', ' 42.708883']"
1270,770,WINDSOR,MA,"['-73.04661', ' 42.509494']"
1301,18968,LEYDEN,MA,"['-72.601847', ' 42.601222']"
1330,1535,ASHFIELD,MA,"['-72.810998', ' 42.523207']"
1331,14077,NEW SALEM,MA,"['-72.214644', ' 42.592065']"
1337,2426,LEYDEN,MA,"['-72.563439', ' 42.683784']"
1338,16,BUCKLAND,MA,"['-72.764124', ' 42.615174']"
1339,1325,HAWLEY,MA,"['-72.880162', ' 42.621802']"
1340,2050,COLRAIN,MA,"['-72.726508', ' 42.67905']"
1341,1524,CONWAY,MA,"['-72.702473', ' 42.513832']"
1342,1281,DEERFIELD,MA,"['-72.607234', ' 42.540636']"
1344,635,ERVING,MA,"['-72.416638', ' 42.604957']"
1346,174,HEATH,MA,"['-72.839101', ' 42.685347']"
1349,1893,MILLERS FALLS,MA,"['-72.494626', ' 42.576206']"
1350,97,MONROE,MA,"['-72.960156', ' 42.723885']"
1351,1699,MONTAGUE,MA,"['-72.532837', ' 42.542864']"
1355,456,NEW SALEM,MA,"['-72.306241', ' 42.514643']"
1360,2829,NORTHFIELD,MA,"['-72.450995', ' 42.688705']"
1364,8544,NEW SALEM,MA,"['-72.305867', ' 42.591231']"
